Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTUCT,0,1,8424,999,46,33592
RRTUCT,1,1,4111,1040,42,14803
RRTUCT,2,0,7241,468,10,25526
RRTUCT,3,0,6306,0,2,21933
RRTUCT,4,0,6990,0,3,27373
RRTUCT,5,1,7265,502,52,27684
RRTUCT,6,0,4897,375,2,18048
RRTUCT,7,1,3568,548,47,13894
RRTUCT,8,0,6363,308,1,22492
RRTUCT,9,0,10127,261,1,36094
RRTUCT,10,1,3971,1138,54,13944
RRTUCT,11,0,4294,0,3,14965
RRTUCT,12,0,7824,0,1,27226
RRTUCT,13,0,6457,0,1,22314
RRTUCT,14,0,6037,0,3,19948
RRTUCT,15,0,4920,331,14,16471
RRTUCT,16,0,9999,0,1,34115
RRTUCT,17,0,4494,0,1,18763
RRTUCT,18,0,5491,0,1,26380
RRTUCT,19,0,7824,0,3,32788
RRTUCT,20,1,2935,1007,46,10899
RRTUCT,21,1,2336,1110,56,8721
RRTUCT,22,1,3983,766,14,15041
RRTUCT,23,0,6304,0,1,23247
RRTUCT,24,0,5329,259,3,19000
RRTUCT,25,1,3790,1054,57,13354
RRTUCT,26,1,2003,904,45,7587
RRTUCT,27,0,6305,0,1,22762
RRTUCT,28,1,6969,946,51,25738
RRTUCT,29,1,4705,982,42,18692
RRTUCT,30,0,7294,204,5,30283
RRTUCT,31,1,2514,1235,53,11811
RRTUCT,32,1,7360,1021,64,31702
RRTUCT,33,0,4655,0,2,16615
RRTUCT,34,0,5676,0,3,21037
RRTUCT,35,0,8961,171,1,33260
RRTUCT,36,0,7406,0,1,28247
RRTUCT,37,1,1933,692,12,7600
RRTUCT,38,1,3229,1140,48,11801
RRTUCT,39,0,5877,0,1,21333
RRTUCT,40,0,4899,312,1,18310
RRTUCT,41,1,7429,1082,46,28923
RRTUCT,42,1,3004,1097,39,13847
RRTUCT,43,0,4723,0,3,17581
RRTUCT,44,0,6030,0,3,23069
RRTUCT,45,1,5019,1023,60,18911
RRTUCT,46,1,3517,1116,77,13245
RRTUCT,47,0,8326,0,1,31861
RRTUCT,48,0,5200,0,3,19663
RRTUCT,49,0,4933,0,3,18603
RRTUCT,50,1,4165,1101,57,16188
RRTUCT,51,0,5559,215,3,20866
RRTUCT,52,1,4390,1320,85,16380
RRTUCT,53,0,10862,0,3,41998
RRTUCT,54,1,1706,978,43,6814
RRTUCT,55,0,6540,0,1,24986
RRTUCT,56,0,6662,253,4,29640
RRTUCT,57,0,10461,0,3,39746
RRTUCT,58,0,7887,0,1,29871
RRTUCT,59,1,2607,1012,43,10529
RRTUCT,60,0,5192,0,2,20039
RRTUCT,61,0,9063,0,2,35675
RRTUCT,62,1,11081,545,41,43100
RRTUCT,63,1,8225,1141,61,31374
RRTUCT,64,0,7672,0,1,28024
RRTUCT,65,1,2622,999,47,9340
RRTUCT,66,0,5018,0,1,18840
RRTUCT,67,0,6392,112,1,24326
RRTUCT,68,0,3890,0,2,15496
RRTUCT,69,0,5548,0,1,21534
RRTUCT,70,1,3758,993,48,14241
RRTUCT,71,0,7020,0,1,28738
RRTUCT,72,1,1722,1183,62,8862
RRTUCT,73,0,8291,0,3,37457
RRTUCT,74,0,7887,268,1,30318
RRTUCT,75,1,893,929,21,3646
RRTUCT,76,0,9926,0,3,40462
RRTUCT,77,0,3988,494,1,16191
RRTUCT,78,1,2190,1094,51,11444
RRTUCT,79,0,4093,0,1,15576
RRTUCT,80,0,6796,505,5,27857
RRTUCT,81,1,1809,948,48,9689
RRTUCT,82,0,8927,0,1,37715
RRTUCT,83,1,2543,714,21,10285
RRTUCT,84,0,8165,0,1,34305
RRTUCT,85,0,4416,0,1,16736
RRTUCT,86,1,1916,1155,51,8217
RRTUCT,87,0,3736,180,3,14580
