Type,Iteration,Success,Time,Frames,KeyPresses
RRTASTAR,0,0,11689,0,1
RRTASTAR,1,0,8497,0,3
RRTUCT,0,0,13616,0,2
RRTUCT,1,0,6900,0,3
Type,Iteration,Success,Time,Frames,KeyPresses
RRTASTAR,0,0,10266,0,3
