Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,145,1,1107,901,76,2886
RRTASTAR,146,1,747,728,55,2176
RRTASTAR,147,1,2884,889,79,8010
RRTASTAR,148,0,3356,17,2,12119
RRTASTAR,149,1,2129,969,82,7800
Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,0,1647,2,2,6150
RRTASTAR,1,1,412,371,11,1306
RRTASTAR,2,1,135,319,6,459
RRTASTAR,3,0,1922,0,3,6728
RRTASTAR,4,1,77,337,14,260
RRTASTAR,5,1,265,318,6,1020
RRTASTAR,6,0,4285,0,1,15257
RRTASTAR,7,1,200,340,9,510
RRTASTAR,8,0,1701,0,3,5171
RRTASTAR,9,0,1318,0,3,5461
RRTASTAR,10,0,1370,0,1,5542
RRTASTAR,11,1,145,335,8,625
RRTASTAR,12,1,81,323,10,351
RRTASTAR,13,0,1459,3,1,6106
RRTASTAR,14,1,356,317,9,1455
RRTASTAR,15,1,139,320,9,592
RRTASTAR,16,1,58,296,1,242
RRTASTAR,17,1,177,339,19,512
RRTASTAR,18,1,162,301,4,728
RRTASTAR,19,1,526,400,17,2319
RRTASTAR,20,1,409,365,17,1844
RRTASTAR,21,1,175,319,9,489
RRTASTAR,22,0,1445,0,3,5935
RRTASTAR,23,0,1499,134,10,6200
RRTASTAR,24,0,1486,4,1,6041
RRTASTAR,25,1,102,364,17,447
RRTASTAR,26,0,1758,0,3,7066
RRTASTAR,27,1,235,352,15,785
RRTASTAR,28,1,259,360,12,1198
RRTASTAR,29,1,45,296,1,170
RRTASTAR,30,0,1373,0,3,5605
RRTASTAR,31,1,53,320,7,197
RRTASTAR,32,0,1331,11,2,5241
RRTASTAR,33,1,203,346,6,852
RRTASTAR,34,1,160,361,9,680
RRTASTAR,35,1,360,306,7,1377
RRTASTAR,36,1,143,341,14,500
RRTASTAR,37,1,192,303,4,516
RRTASTAR,38,1,141,296,1,577
RRTASTAR,39,1,212,310,2,912
RRTASTAR,40,1,196,307,7,813
RRTASTAR,41,0,1348,0,3,5518
RRTASTAR,42,1,277,296,1,1027
RRTASTAR,43,0,1194,0,1,4687
RRTASTAR,44,1,66,324,9,253
RRTASTAR,45,1,135,324,9,580
RRTASTAR,46,0,1388,7,1,5583
RRTASTAR,47,1,990,329,8,4175
RRTASTAR,48,0,1308,0,3,5151
RRTASTAR,49,1,86,314,9,336
RRTASTAR,50,0,1589,4,2,6238
RRTASTAR,51,0,1605,0,3,6849
RRTASTAR,52,1,226,316,6,952
RRTASTAR,53,0,1439,0,3,5785
RRTASTAR,54,0,1551,0,3,5994
RRTASTAR,55,1,137,305,5,523
RRTASTAR,56,1,266,348,13,1152
RRTASTAR,57,1,94,305,4,348
RRTASTAR,58,1,745,446,27,2841
RRTASTAR,59,1,96,324,9,358
RRTASTAR,60,0,1417,0,1,5702
RRTASTAR,61,1,278,393,20,1221
RRTASTAR,62,1,139,307,7,549
RRTASTAR,63,1,211,345,14,870
RRTASTAR,64,1,159,296,1,611
RRTASTAR,65,1,69,331,11,284
RRTASTAR,66,1,149,333,9,350
RRTASTAR,67,1,373,377,14,1491
RRTASTAR,68,1,353,392,20,1508
RRTASTAR,69,0,1445,59,5,5593
RRTASTAR,70,0,1510,3,3,5942
RRTASTAR,71,0,1554,7,1,6066
RRTASTAR,72,1,168,345,11,680
RRTASTAR,73,1,288,362,14,1327
RRTASTAR,74,1,240,324,9,1040
RRTASTAR,75,0,1886,0,3,6941
RRTASTAR,76,1,217,312,4,731
RRTASTAR,77,1,38,296,1,110
RRTASTAR,78,1,150,333,9,589
RRTASTAR,79,1,263,296,1,1073
RRTASTAR,80,0,2792,0,3,11205
RRTASTAR,81,1,153,338,15,616
