Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
AStar2,0,0,61,0,1,147
AStar2,1,0,50,0,1,147
AStar3,0,0,1927,0,3,4464
AStar3,1,0,1941,0,3,4464
UCT,0,1,774,732,45,4604
UCT,1,1,1192,782,63,5454
RRTASTAR,0,0,11221,0,1,8838
RRTASTAR,1,0,8583,0,1,9924
RRTUCT,0,0,10057,0,1,23971
RRTUCT,1,0,13322,0,1,17494
