Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,0,3313,7,1,12556
RRTASTAR,1,0,3518,18,3,12368
RRTASTAR,2,0,2952,0,3,9696
RRTASTAR,3,0,2783,0,3,10408
RRTASTAR,4,1,302,505,41,1217
RRTASTAR,5,1,431,527,44,1378
RRTASTAR,6,1,1813,687,62,6559
RRTASTAR,7,0,2699,23,4,10520
RRTASTAR,8,1,1032,520,43,3966
RRTASTAR,9,1,749,486,39,3001
RRTASTAR,10,0,3050,0,1,11237
RRTASTAR,11,0,3377,4,1,13912
RRTASTAR,12,0,3111,0,3,12118
RRTASTAR,13,1,710,538,49,2277
RRTASTAR,14,0,3013,0,3,10447
RRTASTAR,15,1,2039,549,40,7711
RRTASTAR,16,1,860,593,49,2860
RRTASTAR,17,1,771,521,47,3123
RRTASTAR,18,0,2321,0,3,8002
RRTASTAR,19,1,734,486,37,1678
RRTASTAR,20,1,3164,679,55,8368
RRTASTAR,21,1,1979,558,49,5774
RRTASTAR,22,1,938,503,34,2866
RRTASTAR,23,1,760,543,40,2620
RRTASTAR,24,0,4039,0,1,14725
RRTASTAR,25,1,539,547,47,1866
RRTASTAR,26,0,2583,0,1,9845
RRTASTAR,27,1,475,545,45,1941
RRTASTAR,28,0,2818,23,5,9611
RRTASTAR,29,0,3144,0,3,12183
RRTASTAR,30,1,507,587,42,1577
RRTASTAR,31,1,899,580,49,3484
RRTASTAR,32,0,2456,0,3,8738
RRTASTAR,33,1,418,512,40,1745
RRTASTAR,34,0,3148,0,3,12157
RRTASTAR,35,1,235,504,39,937
RRTASTAR,36,0,2022,0,3,7089
RRTASTAR,37,0,2174,0,3,7109
RRTASTAR,38,1,231,464,34,848
RRTASTAR,39,0,2115,0,3,6712
RRTASTAR,40,1,730,626,48,2618
RRTASTAR,41,1,1040,556,46,3880
RRTASTAR,42,1,1273,496,45,3624
RRTASTAR,43,0,3978,0,3,11145
RRTASTAR,44,1,403,527,42,1115
RRTASTAR,45,1,578,503,37,1738
RRTASTAR,46,1,372,558,50,739
RRTASTAR,47,1,641,553,41,2042
RRTASTAR,48,0,2902,0,3,8388
RRTASTAR,49,0,3931,32,2,12368
RRTASTAR,50,1,500,554,43,1203
RRTASTAR,51,0,2380,0,3,6737
RRTASTAR,52,0,4060,62,7,11750
RRTASTAR,53,0,2249,0,3,5904
RRTASTAR,54,0,2940,0,3,8617
RRTASTAR,55,1,919,552,49,2648
RRTASTAR,56,1,730,536,49,2419
RRTASTAR,57,1,585,451,34,2091
RRTASTAR,58,1,1693,588,55,6259
RRTASTAR,59,1,337,469,38,1359
RRTASTAR,60,1,379,519,49,1541
RRTASTAR,61,0,1896,0,3,6323
RRTASTAR,62,1,430,536,43,1756
RRTASTAR,63,1,463,496,41,1846
RRTASTAR,64,0,2225,0,3,8310
RRTASTAR,65,1,1085,490,38,3972
RRTASTAR,66,0,2469,11,2,9602
RRTASTAR,67,0,3720,0,1,13674
RRTASTAR,68,0,3191,52,5,8813
RRTASTAR,69,1,3192,789,69,9739
RRTASTAR,70,0,4309,0,1,12749
RRTASTAR,71,1,1101,527,52,3825
RRTASTAR,72,1,372,530,40,1076
RRTASTAR,73,0,2534,0,3,6750
RRTASTAR,74,1,3261,683,68,8812
RRTASTAR,75,0,4001,0,3,13083
RRTASTAR,76,0,4206,0,1,13172
RRTASTAR,77,1,951,512,49,3982
RRTASTAR,78,0,2503,2,2,10245
RRTASTAR,79,1,1089,531,43,3981
RRTASTAR,80,0,2501,4,1,9810
RRTASTAR,81,1,419,534,47,1658
RRTASTAR,82,0,1464,39,2,5103
RRTASTAR,83,1,582,477,31,2451
RRTASTAR,84,0,3184,0,1,12430
RRTASTAR,85,1,2488,600,48,9776
RRTASTAR,86,1,676,506,43,2790
RRTASTAR,87,0,855,0,1,2635
RRTASTAR,88,0,2572,0,3,10215
RRTASTAR,89,1,336,486,42,1508
RRTASTAR,90,0,3177,0,1,10609
RRTASTAR,91,0,2790,0,3,8204
RRTASTAR,92,0,2778,0,3,7809
