Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTUCT,0,0,3085,0,3,28060
RRTUCT,1,0,3625,0,1,27856
RRTUCT,2,0,2992,527,3,22972
RRTUCT,3,0,2881,0,3,26003
RRTUCT,4,0,3729,187,5,28955
RRTUCT,5,0,2625,621,1,23934
RRTUCT,6,0,3177,0,3,26934
RRTUCT,7,0,2590,224,4,23845
RRTUCT,8,0,3108,0,3,24435
RRTUCT,9,0,3494,683,1,22074
RRTUCT,10,0,3278,392,3,22413
RRTUCT,11,0,3321,0,1,23025
RRTUCT,12,0,2771,635,1,22365
RRTUCT,13,0,3888,0,1,28008
RRTUCT,14,0,3381,0,3,20653
RRTUCT,15,0,4009,0,3,28212
RRTUCT,16,0,4511,0,1,28075
RRTUCT,17,0,4066,0,3,28762
RRTUCT,18,0,2628,434,4,17844
RRTUCT,19,0,3773,0,1,22890
RRTUCT,20,0,3853,457,2,27584
RRTUCT,21,0,3263,0,1,23237
RRTUCT,22,0,3928,0,3,25335
RRTUCT,23,0,3205,0,2,22162
RRTUCT,24,0,3746,123,4,24476
RRTUCT,25,1,1882,1378,69,16955
RRTUCT,26,0,2677,0,3,24830
RRTUCT,27,0,3320,0,2,27325
RRTUCT,28,0,2987,0,1,29085
RRTUCT,29,0,2930,0,3,27958
RRTUCT,30,0,3586,0,1,28482
RRTUCT,31,0,2743,0,1,25508
RRTUCT,32,0,2792,0,2,22669
RRTUCT,33,1,2247,1552,74,16006
RRTUCT,34,0,3814,0,2,28170
RRTUCT,35,0,4363,0,1,28296
RRTUCT,36,0,3607,0,3,26276
RRTUCT,37,0,4174,0,1,28033
RRTUCT,38,0,3562,0,3,25440
RRTUCT,39,0,3352,0,2,24570
RRTUCT,40,0,4071,0,1,27651
RRTUCT,41,0,3820,0,3,28228
RRTUCT,42,0,3804,0,1,25090
RRTUCT,43,0,2684,789,1,19376
RRTUCT,44,0,3153,0,2,28427
RRTUCT,45,1,2227,1731,107,18769
RRTUCT,46,0,2484,595,7,24751
RRTUCT,47,0,1977,0,1,19125
RRTUCT,48,0,3139,403,3,27249
RRTUCT,49,0,2778,532,7,20461
RRTUCT,50,0,4055,0,1,26541
RRTUCT,51,0,3987,454,4,24454
RRTUCT,52,0,3836,0,1,25870
RRTUCT,53,0,3044,675,3,19962
RRTUCT,54,0,3905,253,6,27490
RRTUCT,55,0,3339,767,3,22361
RRTUCT,56,0,5129,0,2,28687
RRTUCT,57,0,4202,0,1,26635
RRTUCT,58,0,3573,351,3,22422
RRTUCT,59,0,4660,579,1,25306
RRTUCT,60,0,4183,0,3,28064
RRTUCT,61,0,4163,0,3,28548
RRTUCT,62,0,4503,0,2,28029
RRTUCT,63,0,4070,0,3,26971
RRTUCT,64,0,4806,0,1,29007
RRTUCT,65,0,3565,0,1,24054
RRTUCT,66,0,3664,567,4,24200
RRTUCT,67,0,4280,0,1,26395
RRTUCT,68,0,3942,0,3,26376
RRTUCT,69,0,4420,0,2,28794
RRTUCT,70,0,3706,0,3,21714
RRTUCT,71,0,4086,155,3,27053
RRTUCT,72,0,4854,0,2,28528
RRTUCT,73,0,3467,657,1,22609
RRTUCT,74,0,3349,313,1,21167
RRTUCT,75,0,4548,0,2,27408
RRTUCT,76,0,3401,752,11,22065
RRTUCT,77,0,3420,180,1,22339
RRTUCT,78,0,3754,618,3,21540
RRTUCT,79,0,3858,0,1,24751
RRTUCT,80,0,4284,0,2,28525
RRTUCT,81,0,4716,0,2,28787
RRTUCT,82,0,3462,196,1,22061
RRTUCT,83,0,4261,0,3,27305
RRTUCT,84,0,3361,518,8,18188
RRTUCT,85,0,4017,642,5,25613
RRTUCT,86,0,4310,0,3,28177
RRTUCT,87,0,4625,0,1,27236
RRTUCT,88,0,4314,0,3,27838
RRTUCT,89,0,4407,0,2,28101
RRTUCT,90,0,4038,0,1,21727
RRTUCT,91,0,4065,0,2,26165
RRTUCT,92,0,5015,590,7,27089
RRTUCT,93,0,4412,0,1,28140
RRTUCT,94,0,3803,0,3,24426
RRTUCT,95,0,4903,0,3,28576
RRTUCT,96,0,3194,413,1,19686
RRTUCT,97,0,3723,0,1,23916
RRTUCT,98,0,4148,641,5,23376
RRTUCT,99,0,3013,264,3,18882
RRTUCT,100,0,4460,0,1,28427
RRTUCT,101,0,4134,0,3,22645
RRTUCT,102,0,3278,400,1,20216
RRTUCT,103,0,4270,0,2,26825
RRTUCT,104,0,4500,0,1,25024
RRTUCT,105,0,3795,0,1,24301
RRTUCT,106,0,4467,0,3,28448
RRTUCT,107,1,2337,1855,90,14701
RRTUCT,108,0,4808,0,1,27184
RRTUCT,109,0,3959,380,1,25384
RRTUCT,110,0,4016,0,2,25694
RRTUCT,111,0,4347,0,1,24241
RRTUCT,112,0,4380,0,2,28269
RRTUCT,113,0,3229,0,3,19124
RRTUCT,114,0,3982,0,1,28104
RRTUCT,115,0,3296,0,1,27383
RRTUCT,116,0,2406,578,3,19453
RRTUCT,117,0,3439,0,3,24213
RRTUCT,118,0,3271,0,1,27176
RRTUCT,119,0,3352,0,3,27331
RRTUCT,120,0,3899,0,2,28026
RRTUCT,121,0,3400,303,6,28420
RRTUCT,122,0,3759,395,12,27560
RRTUCT,123,0,3404,0,3,27255
RRTUCT,124,0,3321,215,4,27213
RRTUCT,125,0,4063,0,3,28420
RRTUCT,126,0,3687,0,3,29274
RRTUCT,127,0,3045,646,1,24866
RRTUCT,128,0,3967,0,3,27745
RRTUCT,129,0,3053,0,3,24930
RRTUCT,130,0,3058,0,3,24330
RRTUCT,131,0,3649,0,2,25564
RRTUCT,132,0,3186,0,3,24986
RRTUCT,133,0,3550,0,1,24861
RRTUCT,134,0,6049,422,2,27837
RRTUCT,135,0,5048,0,1,26953
RRTUCT,136,1,3584,1681,73,19968
RRTUCT,137,0,4347,0,3,22492
RRTUCT,138,0,3953,0,2,21595
RRTUCT,139,0,4826,0,3,28361
RRTUCT,140,0,3557,333,6,20349
RRTUCT,141,0,4793,0,3,24939
RRTUCT,142,0,4633,0,2,27946
RRTUCT,143,0,3823,626,5,22212
RRTUCT,144,0,4914,0,1,25589
RRTUCT,145,0,3980,679,1,22796
RRTUCT,146,0,4736,0,1,28245
RRTUCT,147,0,5409,0,1,28191
RRTUCT,148,0,4551,324,1,27015
RRTUCT,149,0,4196,0,3,24331
