Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,0,3257,0,3,11481
RRTASTAR,1,1,3453,613,53,11171
RRTASTAR,2,1,1694,528,47,6018
RRTASTAR,3,1,717,557,53,2629
RRTASTAR,4,1,434,559,50,1056
RRTASTAR,5,1,1637,573,46,5966
RRTASTAR,6,0,3395,0,1,11300
RRTASTAR,7,1,1382,584,44,3685
RRTASTAR,8,1,898,502,48,3461
RRTASTAR,9,1,380,472,36,1212
RRTASTAR,10,1,688,579,44,2643
RRTASTAR,11,1,2385,616,54,8646
RRTASTAR,12,1,782,492,41,2933
RRTASTAR,13,1,940,526,43,2899
RRTASTAR,14,0,4556,18,2,16153
RRTASTAR,15,1,846,581,43,2655
RRTASTAR,16,0,2020,44,4,5629
RRTASTAR,17,1,560,548,47,1514
RRTASTAR,18,1,216,570,44,614
RRTASTAR,19,0,4413,0,3,8636
RRTASTAR,20,1,508,632,53,878
RRTASTAR,21,1,959,492,43,2669
RRTASTAR,22,0,3375,0,3,8687
RRTASTAR,23,1,651,561,43,2604
RRTASTAR,24,1,3383,515,50,12766
RRTASTAR,25,1,145,633,51,597
RRTASTAR,26,1,933,610,51,3032
RRTASTAR,27,1,403,566,40,1400
RRTASTAR,28,1,1081,560,49,4146
RRTASTAR,29,1,627,595,51,2322
RRTASTAR,30,1,570,464,36,2250
RRTASTAR,31,0,3837,0,3,13548
RRTASTAR,32,1,1390,548,47,5039
RRTASTAR,33,1,679,576,49,2320
RRTASTAR,34,1,792,491,38,2237
RRTASTAR,35,1,641,555,46,2237
RRTASTAR,36,1,1011,555,51,2956
RRTASTAR,37,1,5545,557,43,15838
RRTASTAR,38,0,5659,0,3,15939
RRTASTAR,39,1,623,575,43,1761
RRTASTAR,40,0,4816,0,3,12618
RRTASTAR,41,1,1647,593,59,4675
RRTASTAR,42,0,4482,2,1,11490
RRTASTAR,43,1,1334,522,44,3347
RRTASTAR,44,1,579,563,50,1505
RRTASTAR,45,0,4056,0,3,10192
RRTASTAR,46,1,800,536,41,2152
RRTASTAR,47,1,1617,544,52,4629
RRTASTAR,48,1,1375,583,54,3317
RRTASTAR,49,0,5712,2,2,16653
RRTASTAR,50,1,1472,570,40,3753
RRTASTAR,51,0,3050,25,4,6872
RRTASTAR,52,1,937,467,40,2120
RRTASTAR,53,1,1695,544,54,4975
RRTASTAR,54,0,4200,44,7,12618
RRTASTAR,55,1,530,605,50,2015
RRTASTAR,56,0,3941,0,1,16377
RRTASTAR,57,0,6366,0,3,24072
RRTASTAR,58,0,2811,0,1,11378
RRTASTAR,59,0,4015,0,3,11834
RRTASTAR,60,0,5006,75,9,17647
RRTASTAR,61,0,5556,0,1,16992
RRTASTAR,62,0,3573,0,3,12335
RRTASTAR,63,0,3465,26,2,12854
RRTASTAR,64,1,828,499,44,3541
RRTASTAR,65,0,3426,0,3,13314
RRTASTAR,66,1,1245,755,65,4610
RRTASTAR,67,0,2971,0,1,11228
RRTASTAR,68,1,391,557,45,1687
RRTASTAR,69,1,501,534,45,2076
RRTASTAR,70,1,2129,516,41,8939
RRTASTAR,71,1,773,561,44,2815
RRTASTAR,72,1,416,557,46,1298
RRTASTAR,73,0,3483,0,3,11348
RRTASTAR,74,1,686,561,50,2853
RRTASTAR,75,0,3630,0,1,13753
RRTASTAR,76,1,1094,526,49,3919
RRTASTAR,77,1,775,558,49,3259
RRTASTAR,78,1,355,510,39,1321
RRTASTAR,79,1,1438,535,47,4079
RRTASTAR,80,1,2321,572,55,7415
RRTASTAR,81,1,999,534,49,3002
RRTASTAR,82,1,3579,522,44,10801
RRTASTAR,83,0,5546,0,1,20585
RRTASTAR,84,1,781,576,53,2774
RRTASTAR,85,1,520,498,37,1473
RRTASTAR,86,1,556,648,59,2216
RRTASTAR,87,1,309,535,45,1232
RRTASTAR,88,0,5159,0,1,19711
RRTASTAR,89,1,680,483,40,1988
RRTASTAR,90,0,4115,35,2,12599
RRTASTAR,91,1,864,514,42,3680
RRTASTAR,92,1,2480,554,49,9816
RRTASTAR,93,0,3957,0,1,11872
RRTASTAR,94,1,929,567,47,2746
RRTASTAR,95,1,833,593,45,1971
RRTASTAR,96,1,612,593,52,1819
RRTASTAR,97,1,585,494,40,1758
RRTASTAR,98,1,782,693,52,2170
RRTASTAR,99,1,385,547,40,1387
RRTASTAR,100,1,653,551,41,2679
RRTASTAR,101,1,1485,593,49,5304
RRTASTAR,102,1,610,565,44,2519
RRTASTAR,103,1,260,593,43,1066
RRTASTAR,104,1,309,541,46,1230
RRTASTAR,105,1,364,512,44,1513
RRTASTAR,106,1,1363,587,47,4656
RRTASTAR,107,0,3124,10,1,11469
RRTASTAR,108,0,1071,4,1,2682
RRTASTAR,109,1,1698,476,34,5020
RRTASTAR,110,0,4481,0,1,12036
RRTASTAR,111,1,587,651,58,1807
RRTASTAR,112,1,1003,512,39,3147
RRTASTAR,113,1,813,526,39,2366
RRTASTAR,114,1,2245,664,55,5972
RRTASTAR,115,0,2809,0,1,10038
RRTASTAR,116,0,2698,0,3,9318
RRTASTAR,117,1,280,500,40,780
RRTASTAR,118,1,2827,650,59,7793
RRTASTAR,119,1,2847,489,44,7864
RRTASTAR,120,1,4597,559,56,13705
RRTASTAR,121,1,1331,499,40,4061
RRTASTAR,122,1,1710,539,46,4372
RRTASTAR,123,1,1777,608,55,4719
RRTASTAR,124,0,4628,0,1,12154
RRTASTAR,125,1,462,530,45,1298
RRTASTAR,126,1,1527,580,52,3940
RRTASTAR,127,1,940,625,46,3877
RRTASTAR,128,1,1024,549,47,4044
RRTASTAR,129,1,456,571,53,1888
RRTASTAR,130,1,2940,696,63,11306
RRTASTAR,131,0,3763,0,1,13476
RRTASTAR,132,1,905,587,58,2947
RRTASTAR,133,0,4949,85,7,18198
RRTASTAR,134,1,452,549,44,1343
RRTASTAR,135,1,644,526,41,2000
RRTASTAR,136,0,6824,43,7,18336
RRTASTAR,137,1,896,518,39,2447
RRTASTAR,138,1,1247,576,46,3643
RRTASTAR,139,1,988,486,43,2287
RRTASTAR,140,0,4711,0,3,12496
RRTASTAR,141,0,6467,0,1,18344
RRTASTAR,142,1,2454,589,53,8128
RRTASTAR,143,1,1705,591,54,5608
RRTASTAR,144,1,696,521,47,1953
RRTASTAR,145,1,1616,513,42,4111
RRTASTAR,146,1,3114,487,37,9317
RRTASTAR,147,1,2249,504,37,6069
RRTASTAR,148,0,5628,4,1,15315
RRTASTAR,149,1,3394,529,48,9242
