Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTUCT,0,0,5163,0,1,37526
RRTUCT,1,0,5153,0,2,38428
RRTUCT,2,0,6844,0,1,39817
RRTUCT,3,0,4237,0,3,32585
RRTUCT,4,1,1960,886,59,14867
RRTUCT,5,0,4543,78,3,34527
RRTUCT,6,0,4125,0,2,33519
RRTUCT,7,0,5777,0,3,43411
RRTUCT,8,0,4325,430,1,34860
RRTUCT,9,0,7109,0,3,48972
RRTUCT,10,0,6178,370,8,37992
RRTUCT,11,0,6834,0,3,39978
RRTUCT,12,0,6162,0,3,37593
RRTUCT,13,0,5461,0,1,39352
RRTUCT,14,0,4335,632,3,35717
RRTUCT,15,0,5396,836,5,40647
RRTUCT,16,0,6089,0,2,37689
RRTUCT,17,1,3213,1761,93,19521
RRTUCT,18,0,6089,796,6,33610
RRTUCT,19,0,5663,219,1,35857
RRTUCT,20,0,7945,250,3,45708
RRTUCT,21,0,7530,0,1,46677
RRTUCT,22,1,5823,1817,102,33245
RRTUCT,23,0,5328,0,1,32941
RRTUCT,24,0,5946,0,1,36084
RRTUCT,25,0,6101,59,3,32271
RRTUCT,26,0,5215,595,4,29786
RRTUCT,27,1,3374,1620,87,20462
RRTUCT,28,1,5049,1905,115,26838
RRTUCT,29,0,5858,330,1,35540
RRTUCT,30,1,4187,1657,72,22418
RRTUCT,31,0,6873,46,4,44276
RRTUCT,32,1,4679,1576,80,29438
RRTUCT,33,1,5109,1979,95,28439
RRTUCT,34,0,6329,695,3,40613
RRTUCT,35,0,5992,465,12,35058
RRTUCT,36,0,6467,571,4,41576
RRTUCT,37,0,5386,986,5,33657
RRTUCT,38,0,4197,0,3,34939
RRTUCT,39,1,3649,2004,97,27937
RRTUCT,40,0,8070,0,3,43226
RRTUCT,41,1,3467,2175,123,21721
RRTUCT,42,1,3847,2052,113,24867
RRTUCT,43,0,7029,0,2,42112
RRTUCT,44,0,6081,0,1,39409
RRTUCT,45,0,4972,0,1,32907
RRTUCT,46,0,4036,717,1,35083
RRTUCT,47,0,4428,0,3,38102
RRTUCT,48,0,3988,666,5,29679
RRTUCT,49,1,2947,847,86,24737
RRTUCT,50,1,3616,1820,80,30109
RRTUCT,51,0,5101,0,3,32068
RRTUCT,52,0,7145,546,5,45743
RRTUCT,53,1,3879,1914,86,20498
RRTUCT,54,0,4999,925,1,30567
RRTUCT,55,1,3709,1726,93,23341
RRTUCT,56,0,7756,0,2,44872
RRTUCT,57,1,3976,975,83,24033
RRTUCT,58,0,5656,0,2,32094
RRTUCT,59,1,4634,1871,91,29070
RRTUCT,60,0,5673,788,1,36021
RRTUCT,61,0,5188,0,1,33734
RRTUCT,62,0,3940,0,3,33639
RRTUCT,63,0,4938,586,8,39123
RRTUCT,64,1,1883,1604,86,15460
RRTUCT,65,0,5129,88,6,40395
RRTUCT,66,1,5514,1063,102,28049
RRTUCT,67,0,5080,452,1,33938
RRTUCT,68,1,3366,1676,92,21624
RRTUCT,69,0,6470,649,1,37295
RRTUCT,70,0,4991,676,3,32919
RRTUCT,71,1,2961,1698,82,18595
RRTUCT,72,1,3871,1785,98,24354
RRTUCT,73,0,5177,238,1,33297
RRTUCT,74,0,5760,0,1,34620
RRTUCT,75,1,4147,2313,128,34966
RRTUCT,76,0,3542,325,1,30743
RRTUCT,77,1,3972,1900,96,29781
RRTUCT,78,0,3526,254,3,31504
RRTUCT,79,1,3423,1836,104,31096
RRTUCT,80,1,3878,1774,96,24562
RRTUCT,81,0,4937,552,10,32566
RRTUCT,82,0,6165,677,3,37794
RRTUCT,83,0,4689,275,3,31107
RRTUCT,84,1,4748,1982,104,31797
RRTUCT,85,0,6194,484,1,47815
RRTUCT,86,1,2103,1786,85,17938
RRTUCT,87,0,4564,571,6,37202
RRTUCT,88,0,3293,498,1,29297
RRTUCT,89,0,3585,0,2,32200
RRTUCT,90,1,2967,2180,103,20560
RRTUCT,91,0,4371,417,1,39511
RRTUCT,92,1,2985,1563,77,27231
RRTUCT,93,1,2994,1461,62,22011
RRTUCT,94,0,4494,0,2,39478
RRTUCT,95,1,4420,1771,96,34800
RRTUCT,96,0,3732,0,1,34646
RRTUCT,97,0,3906,0,1,36333
RRTUCT,98,0,4768,0,1,35433
RRTUCT,99,0,5080,0,3,35297
RRTUCT,100,0,5978,0,1,37368
RRTUCT,101,1,2956,1809,90,20319
RRTUCT,102,1,4398,2128,103,30323
RRTUCT,103,0,5967,805,1,40751
RRTUCT,104,1,3305,1691,90,28741
RRTUCT,105,1,4325,2064,125,33592
RRTUCT,106,0,3346,0,3,30739
RRTUCT,107,0,3755,0,3,36567
RRTUCT,108,1,2900,1937,115,23454
RRTUCT,109,0,3726,330,1,32855
RRTUCT,110,1,4058,932,100,29637
RRTUCT,111,1,4619,1918,99,26516
RRTUCT,112,0,4937,136,2,35089
RRTUCT,113,0,5945,0,2,34123
RRTUCT,114,1,4524,1712,82,29682
RRTUCT,115,1,3222,2025,102,23425
RRTUCT,116,0,5257,76,1,33919
RRTUCT,117,1,2733,1973,92,19662
RRTUCT,118,1,3467,1671,74,25121
RRTUCT,119,0,6106,0,1,38352
RRTUCT,120,0,5089,448,1,36037
RRTUCT,121,1,3636,2152,85,24926
RRTUCT,122,0,5151,340,6,31088
RRTUCT,123,1,4398,1819,80,30279
RRTUCT,124,0,5472,0,3,33435
RRTUCT,125,0,5049,0,2,35784
RRTUCT,126,0,4919,487,4,29729
RRTUCT,127,0,5643,205,6,39507
RRTUCT,128,1,3314,836,77,22965
RRTUCT,129,0,5573,0,3,35575
RRTUCT,130,0,6714,655,8,47430
RRTUCT,131,0,4347,430,5,29075
RRTUCT,132,1,2133,2072,110,19584
RRTUCT,133,0,3878,826,3,36011
RRTUCT,134,1,3778,1645,92,29070
RRTUCT,135,1,2865,1431,73,24227
RRTUCT,136,1,2817,1807,83,23033
RRTUCT,137,0,5322,481,7,32829
RRTUCT,138,0,5013,625,6,35076
RRTUCT,139,1,4278,1966,90,28426
RRTUCT,140,0,3793,265,4,35364
RRTUCT,141,0,6823,0,1,49272
RRTUCT,142,0,5042,29,3,34993
RRTUCT,143,0,4241,495,2,29340
RRTUCT,144,1,3813,1009,89,21883
RRTUCT,145,1,3762,1808,73,25863
RRTUCT,146,0,6159,831,7,40925
RRTUCT,147,0,3382,724,3,30680
RRTUCT,148,0,4354,0,2,39985
RRTUCT,149,1,3950,1881,98,30438
