Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTUCT,0,0,2752,47,1,17901
RRTUCT,1,0,4722,0,1,24252
RRTUCT,2,0,2759,0,1,13114
RRTUCT,3,0,2993,0,2,14413
RRTUCT,4,0,2907,0,1,15974
RRTUCT,5,0,2561,0,3,11935
RRTUCT,6,0,4165,0,3,20145
RRTUCT,7,0,3038,0,3,14058
RRTUCT,8,0,3806,0,1,17640
RRTUCT,9,0,2804,68,5,12491
RRTUCT,10,0,2642,0,1,12454
RRTUCT,11,0,4968,0,1,23539
RRTUCT,12,0,4663,0,1,22749
RRTUCT,13,0,3692,0,1,17625
RRTUCT,14,0,3149,0,3,14641
RRTUCT,15,0,3405,0,1,18469
RRTUCT,16,0,2657,0,1,12873
RRTUCT,17,0,2878,0,3,15231
RRTUCT,18,0,3527,0,1,17555
RRTUCT,19,0,2478,0,3,12940
RRTUCT,20,1,1941,1061,59,9029
RRTUCT,21,0,4005,0,1,21006
RRTUCT,22,0,3000,0,2,14184
RRTUCT,23,1,1855,1041,47,8564
RRTUCT,24,0,4611,0,2,24466
RRTUCT,25,1,2718,688,14,12618
RRTUCT,26,0,2746,0,2,13330
RRTUCT,27,0,3907,0,3,23886
RRTUCT,28,0,1683,0,2,9717
RRTUCT,29,0,3604,0,1,20943
RRTUCT,30,1,4550,1183,64,21010
RRTUCT,31,0,2885,0,2,12951
RRTUCT,32,0,2373,0,3,10405
RRTUCT,33,0,3348,139,1,19477
RRTUCT,34,0,2401,0,1,10732
RRTUCT,35,0,3828,173,4,17238
RRTUCT,36,0,3379,0,2,15119
RRTUCT,37,0,2655,0,1,13420
RRTUCT,38,0,3389,0,2,15024
RRTUCT,39,1,2072,703,18,9217
RRTUCT,40,0,3890,0,3,17386
RRTUCT,41,1,1517,1004,55,6591
RRTUCT,42,0,3408,0,3,14086
RRTUCT,43,0,4685,0,3,20056
RRTUCT,44,1,3857,1137,45,16596
RRTUCT,45,1,3190,983,56,13761
RRTUCT,46,0,4160,0,1,18144
RRTUCT,47,0,4430,321,1,19681
RRTUCT,48,1,1673,479,36,9099
RRTUCT,49,0,3905,0,1,20896
RRTUCT,50,1,2129,694,20,8955
RRTUCT,51,0,4271,0,3,18565
RRTUCT,52,0,3259,160,4,13687
RRTUCT,53,0,3140,0,3,13219
RRTUCT,54,0,5423,0,2,23993
RRTUCT,55,0,4259,0,3,20618
RRTUCT,56,0,4332,0,3,22980
RRTUCT,57,0,6128,41,3,25480
RRTUCT,58,0,5660,0,1,23843
RRTUCT,59,0,2903,0,3,12231
RRTUCT,60,1,3883,1071,50,16469
RRTUCT,61,0,3254,0,1,13099
RRTUCT,62,0,3282,0,3,12809
RRTUCT,63,1,3933,1145,68,17030
RRTUCT,64,0,4495,0,3,20101
RRTUCT,65,0,4669,182,1,21047
RRTUCT,66,0,3261,0,1,13449
RRTUCT,67,1,3177,684,15,12557
RRTUCT,68,0,4229,282,5,19803
